	Anoste	Chirip	Clumar	Culpip	Dromoj	Phlpap	Polvan
Anoste	0.0	7518.0	7151.0	8538.0	7687.0	7815.0	7756.0
Chirip	8903.0	0.0	11026.0	10078.0	9914.0	10014.0	13648.0
Clumar	8051.0	10389.0	0.0	9039.0	8851.0	9004.0	10997.0
Culpip	16810.0	16577.0	15526.0	0.0	16440.0	17340.0	17050.0
Dromoj	13498.0	14934.0	14124.0	15049.0	0.0	15224.0	15234.0
Phlpap	14211.0	15789.0	14941.0	16120.0	15422.0	0.0	16153.0
Polvan	9408.0	14176.0	11967.0	10838.0	10538.0	10850.0	0.0
