	Anoste	Chirip	Clumar	Culpip	Dromoj	Phlpap	Polvan
Anoste	0.0	452.0	315.0	429.0	732.0	539.0	447.0
Chirip	606.0	0.0	1097.0	2264.0	2017.0	1883.0	1427.0
Clumar	385.0	899.0	0.0	1718.0	1613.0	1519.0	1120.0
Culpip	635.0	3358.0	3073.0	0.0	7163.0	6960.0	4247.0
Dromoj	950.0	2896.0	2844.0	6732.0	0.0	6003.0	3843.0
Phlpap	813.0	3185.0	3149.0	7697.0	6682.0	0.0	4232.0
Polvan	629.0	1403.0	1221.0	2652.0	2478.0	2261.0	0.0
