	Anoste	Chirip	Clumar	Culpip	Dromoj	Phlpap	Polvan
Anoste	0.0	543.0	689.0	418.0	553.0	630.0	580.0
Chirip	2563.0	0.0	2579.0	1300.0	1587.0	1649.0	2758.0
Clumar	2144.0	1910.0	0.0	1118.0	1238.0	1296.0	1944.0
Culpip	11482.0	8721.0	8243.0	0.0	4746.0	5762.0	8139.0
Dromoj	8349.0	7322.0	6887.0	3462.0	0.0	4406.0	6537.0
Phlpap	8703.0	7423.0	6960.0	2996.0	3520.0	0.0	6577.0
Polvan	3065.0	3556.0	3256.0	1707.0	1825.0	2162.0	0.0
