	Anoste	Chirip	Clumar	Culpip	Dromoj	Phlpap	Polvan
Anoste	0.0	5514.0	5261.0	4521.0	3985.0	4466.0	5485.0
Chirip	5514.0	0.0	6593.0	4002.0	4124.0	4549.0	8232.0
Clumar	5261.0	6593.0	0.0	3760.0	3893.0	4307.0	6744.0
Culpip	4521.0	4002.0	3760.0	0.0	3344.0	3672.0	4053.0
Dromoj	3985.0	4124.0	3893.0	3344.0	0.0	3739.0	4169.0
Phlpap	4466.0	4549.0	4307.0	3672.0	3739.0	0.0	4577.0
Polvan	5485.0	8232.0	6744.0	4053.0	4169.0	4577.0	0.0
