	Anoste	Chirip	Clumar	Culpip	Dromoj	Phlpap	Polvan
Anoste	0.0	1009.0	886.0	3170.0	2417.0	2180.0	1244.0
Chirip	220.0	0.0	757.0	2512.0	2186.0	1933.0	1231.0
Clumar	261.0	987.0	0.0	2443.0	2107.0	1882.0	1189.0
Culpip	172.0	496.0	450.0	0.0	1187.0	946.0	611.0
Dromoj	214.0	592.0	500.0	1511.0	0.0	1076.0	685.0
Phlpap	229.0	632.0	525.0	1755.0	1481.0	0.0	767.0
Polvan	229.0	985.0	746.0	2426.0	2066.0	1850.0	0.0
