Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	21	21
OG0000318	10	10
OG0000319	15	15
OG0000320	20	20
OG0000321	20	20
OG0000322	20	20
OG0000323	20	20
OG0000324	16	16
OG0000325	21	21
OG0000326	21	21
OG0000327	21	21
OG0000328	21	21
OG0000329	14	14
OG0000330	21	21
OG0000331	21	21
OG0000332	21	21
OG0000333	14	11
OG0000334	19	19
OG0000335	19	19
OG0000336	21	21
OG0000337	24	24
OG0000338	24	24
OG0000339	24	23
OG0000340	27	27
OG0000341	27	27
OG0000342	27	27
OG0000343	27	27
OG0000344	27	27
OG0000345	20	20
OG0000346	18	18
OG0000347	21	21
OG0000348	20	20
OG0000349	21	21
OG0000350	15	9
OG0000351	8	6
OG0000352	20	19
OG0000353	20	20
OG0000354	20	20
OG0000355	8	8
OG0000356	19	19
OG0000357	13	13
OG0000358	20	20
OG0000359	24	24
OG0000360	20	20
OG0000361	21	21
OG0000362	23	22
OG0000363	17	16
OG0000364	20	20
OG0000365	20	20
OG0000366	20	20
OG0000367	18	18
OG0000368	21	21
OG0000369	26	26
OG0000370	19	19
OG0000371	16	14
OG0000372	18	18
OG0000373	20	20
OG0000374	17	17
OG0000375	14	13
OG0000376	15	15
OG0000377	15	15
OG0000378	13	13
OG0000379	12	9
OG0000380	13	13
OG0000381	16	16
OG0000382	19	19
OG0000383	19	19
OG0000384	12	12
OG0000385	19	19
OG0000386	18	17
OG0000387	14	12
OG0000388	17	17
OG0000389	15	15
OG0000390	21	21
OG0000391	19	19
OG0000392	17	17
OG0000393	15	15
OG0000394	19	19
OG0000395	13	13
OG0000396	19	18
OG0000397	18	17
OG0000398	19	16
OG0000399	22	22
OG0000400	18	18
OG0000401	14	13
OG0000402	18	18
OG0000403	18	18
OG0000404	18	18
OG0000405	19	19
OG0000406	17	16
OG0000407	17	17
OG0000408	11	11
OG0000409	12	10
OG0000410	14	14
OG0000411	17	17
OG0000412	17	16
OG0000413	18	18
OG0000414	16	16
OG0000415	12	11
OG0000416	10	10
OG0000417	18	18
OG0000418	7	5
OG0000419	18	18
OG0000420	18	18
OG0000421	18	18
OG0000422	17	17
OG0000423	10	8
OG0000424	11	9
OG0000425	18	18
OG0000426	18	18
OG0000427	19	19
OG0000428	15	14
OG0000429	20	20
OG0000430	18	18
OG0000431	18	18
OG0000432	11	9
OG0000433	18	18
OG0000434	13	12
OG0000435	9	9
OG0000436	18	18
OG0000437	16	16
OG0000438	17	17
OG0000439	18	18
OG0000440	24	24
OG0000441	24	24
OG0000442	18	17
OG0000443	19	19
OG0000444	23	23
OG0000445	21	21
OG0000446	23	23
OG0000447	24	24
OG0000448	16	16
OG0000449	16	16
OG0000450	14	14
OG0000451	11	9
OG0000452	10	10
OG0000453	17	17
OG0000454	13	13
OG0000455	16	16
OG0000456	15	15
OG0000457	18	18
OG0000458	17	17
OG0000459	17	17
OG0000460	12	11
OG0000461	12	12
OG0000462	18	18
OG0000463	18	18
OG0000464	14	13
OG0000465	18	18
OG0000466	17	17
OG0000467	19	19
OG0000468	17	17
OG0000469	17	17
OG0000470	14	14
OG0000471	17	17
OG0000472	22	22
OG0000473	15	14
OG0000474	17	17
OG0000475	16	16
OG0000476	17	16
OG0000477	17	17
OG0000478	17	17
OG0000479	20	20
OG0000480	17	17
OG0000481	20	20
OG0000482	10	8
OG0000483	17	17
OG0000484	17	16
OG0000485	17	17
OG0000486	20	20
OG0000487	17	17
OG0000488	23	23
OG0000489	15	15
OG0000490	19	19
OG0000491	22	22
OG0000492	23	23
OG0000493	22	22
OG0000494	23	23
OG0000495	23	23
OG0000496	23	23
OG0000497	23	23
OG0000498	16	16
OG0000499	16	16
OG0000500	12	12
OG0000501	16	16
OG0000502	16	15
OG0000503	12	11
OG0000504	11	11
OG0000505	16	16
OG0000506	16	16
OG0000507	10	9
OG0000508	8	8
OG0000509	14	13
OG0000510	12	12
OG0000511	16	16
OG0000512	10	10
OG0000513	16	16
OG0000514	16	16
OG0000515	12	12
OG0000516	16	16
OG0000517	16	16
OG0000518	15	15
OG0000519	17	16
OG0000520	14	13
OG0000521	15	13
OG0000522	16	16
OG0000523	17	17
OG0000524	10	10
OG0000525	16	16
OG0000526	11	10
OG0000527	16	16
OG0000528	10	10
OG0000529	15	15
OG0000530	16	16
OG0000531	18	18
OG0000532	16	16
OG0000533	16	16
OG0000534	16	16
OG0000535	17	17
OG0000536	17	17
OG0000537	17	17
OG0000538	16	16
OG0000539	17	17
OG0000540	17	17
OG0000541	22	22
OG0000542	17	17
OG0000543	18	15
OG0000544	22	22
OG0000545	21	21
OG0000546	8	8
OG0000547	15	15
OG0000548	15	15
OG0000549	3	2
OG0000550	12	12
OG0000551	12	8
OG0000552	13	10
OG0000553	16	16
OG0000554	11	10
OG0000555	10	10
OG0000556	13	11
OG0000557	14	14
OG0000558	14	14
OG0000559	15	15
OG0000560	10	8
OG0000561	12	12
OG0000562	8	7
OG0000563	15	15
OG0000564	15	15
OG0000565	14	13
OG0000566	9	9
OG0000567	15	15
OG0000568	6	6
OG0000569	15	15
OG0000570	12	11
OG0000571	16	16
OG0000572	14	14
OG0000573	15	15
OG0000574	20	20
OG0000575	11	10
OG0000576	5	5
OG0000577	15	15
OG0000578	15	15
OG0000579	16	16
OG0000580	11	11
OG0000581	15	15
OG0000582	14	13
OG0000583	11	7
OG0000584	15	15
OG0000585	16	16
OG0000586	15	15
OG0000587	13	12
OG0000588	15	14
OG0000589	15	15
OG0000590	15	15
OG0000591	15	15
OG0000592	15	15
OG0000593	15	15
OG0000594	14	13
OG0000595	15	15
OG0000596	12	12
OG0000597	14	14
OG0000598	14	14
OG0000599	15	15
OG0000600	15	15
OG0000601	16	16
OG0000602	14	13
OG0000603	16	15
OG0000604	14	13
OG0000605	17	17
OG0000606	17	17
OG0000607	16	16
OG0000608	16	16
OG0000609	21	21
OG0000610	21	21
OG0000611	21	21
OG0000612	21	21
OG0000613	20	20
OG0000614	21	21
OG0000615	21	21
OG0000616	21	21
OG0000617	21	21
OG0000618	11	11
OG0000619	14	13
OG0000620	14	14
OG0000621	14	14
OG0000622	14	14
OG0000623	12	12
OG0000624	14	14
OG0000625	14	14
OG0000626	14	14
OG0000627	16	16
OG0000628	14	14
OG0000629	14	14
OG0000630	15	15
OG0000631	14	14
OG0000632	11	11
OG0000633	11	11
OG0000634	14	14
OG0000635	9	9
OG0000636	11	11
OG0000637	14	14
OG0000638	14	14
OG0000639	8	7
OG0000640	14	14
OG0000641	15	15
OG0000642	9	9
OG0000643	14	14
OG0000644	14	14
OG0000645	10	10
OG0000646	15	15
OG0000647	8	8
OG0000648	14	14
OG0000649	14	14
OG0000650	14	14
OG0000651	14	14
OG0000652	18	18
OG0000653	14	14
OG0000654	14	14
OG0000655	13	13
OG0000656	13	13
OG0000657	14	14
OG0000658	14	14
OG0000659	13	11
OG0000660	14	14
OG0000661	14	14
OG0000662	13	13
OG0000663	14	13
OG0000664	14	14
OG0000665	13	12
OG0000666	14	14
OG0000667	14	14
OG0000668	8	8
OG0000669	15	15
OG0000670	14	14
OG0000671	14	14
OG0000672	14	14
OG0000673	13	12
OG0000674	10	10
OG0000675	14	14
OG0000676	13	13
OG0000677	14	14
OG0000678	5	3
OG0000679	9	9
OG0000680	11	11
OG0000681	17	17
OG0000682	15	15
OG0000683	15	15
OG0000684	14	13
OG0000685	19	19
OG0000686	17	16
OG0000687	17	17
OG0000688	20	20
OG0000689	19	19
OG0000690	20	20
OG0000691	20	20
OG0000692	13	13
OG0000693	11	11
OG0000694	13	13
OG0000695	9	9
OG0000696	8	8
OG0000697	13	13
OG0000698	13	13
OG0000699	13	13
OG0000700	13	13
OG0000701	13	13
OG0000702	13	13
OG0000703	14	14
OG0000704	13	13
OG0000705	13	13
OG0000706	11	11
OG0000707	13	13
OG0000708	6	4
OG0000709	14	14
OG0000710	13	13
OG0000711	13	13
OG0000712	13	13
OG0000713	12	12
OG0000714	14	14
OG0000715	12	10
OG0000716	14	14
OG0000717	13	13
OG0000718	18	18
OG0000719	13	13
OG0000720	8	8
OG0000721	13	13
OG0000722	12	12
OG0000723	13	13
OG0000724	12	12
OG0000725	11	11
OG0000726	8	8
OG0000727	10	10
OG0000728	14	14
OG0000729	12	12
OG0000730	14	14
OG0000731	13	13
OG0000732	13	13
OG0000733	13	13
OG0000734	13	13
OG0000735	13	13
OG0000736	10	10
OG0000737	13	13
OG0000738	13	13
OG0000739	13	13
OG0000740	13	13
OG0000741	13	13
OG0000742	13	13
OG0000743	13	13
OG0000744	13	13
OG0000745	10	9
OG0000746	7	7
OG0000747	13	13
OG0000748	13	13
OG0000749	13	13
OG0000750	16	16
OG0000751	10	10
OG0000752	16	16
OG0000753	15	15
OG0000754	15	15
OG0000755	16	16
OG0000756	14	14
OG0000757	14	14
OG0000758	18	18
OG0000759	18	18
OG0000760	17	17
OG0000761	19	19
OG0000762	17	16
OG0000763	18	18
OG0000764	19	19
OG0000765	19	19
OG0000766	19	19
OG0000767	19	19
OG0000768	9	9
OG0000769	12	12
OG0000770	11	7
OG0000771	10	9
OG0000772	13	13
OG0000773	12	12
OG0000774	12	12
OG0000775	13	13
OG0000776	7	7
OG0000777	12	12
OG0000778	9	9
OG0000779	12	12
OG0000780	11	10
OG0000781	13	13
OG0000782	12	12
OG0000783	12	12
OG0000784	13	13
OG0000785	12	12
OG0000786	12	12
OG0000787	12	12
OG0000788	9	7
OG0000789	10	10
OG0000790	12	12
OG0000791	8	8
OG0000792	12	12
OG0000793	12	12
OG0000794	12	12
OG0000795	11	11
OG0000796	12	12
OG0000797	8	7
OG0000798	9	7
OG0000799	12	12
OG0000800	11	11
OG0000801	12	12
OG0000802	11	11
OG0000803	8	8
OG0000804	12	12
OG0000805	12	12
OG0000806	10	10
OG0000807	12	12
OG0000808	12	12
OG0000809	12	12
OG0000810	12	12
OG0000811	13	13
OG0000812	12	12
OG0000813	13	13
OG0000814	10	10
OG0000815	12	12
OG0000816	13	13
OG0000817	8	8
OG0000818	10	10
OG0000819	12	12
OG0000820	12	12
OG0000821	17	17
OG0000822	11	10
OG0000823	12	12
OG0000824	11	10
OG0000825	12	12
OG0000826	8	8
OG0000827	13	13
OG0000828	11	11
OG0000829	12	12
OG0000830	6	5
OG0000831	9	9
OG0000832	13	13
OG0000833	12	12
OG0000834	12	12
OG0000835	12	12
OG0000836	11	8
OG0000837	10	10
OG0000838	7	7
OG0000839	10	10
OG0000840	12	12
OG0000841	12	12
OG0000842	9	9
OG0000843	10	9
OG0000844	11	11
OG0000845	10	10
OG0000846	17	17
OG0000847	14	14
OG0000848	11	10
OG0000849	14	14
OG0000850	10	10
OG0000851	13	13
OG0000852	13	12
OG0000853	10	9
OG0000854	14	14
OG0000855	9	7
OG0000856	13	13
OG0000857	13	13
OG0000858	16	16
OG0000859	17	17
OG0000860	18	18
OG0000861	17	17
OG0000862	18	18
OG0000863	18	18
OG0000864	18	18
OG0000865	18	18
OG0000866	18	18
OG0000867	18	18
OG0000868	18	18
OG0000869	18	18
OG0000870	11	11
OG0000871	11	11
OG0000872	13	13
OG0000873	11	11
OG0000874	8	8
OG0000875	11	11
OG0000876	8	8
OG0000877	9	9
OG0000878	11	11
OG0000879	7	7
OG0000880	11	11
OG0000881	7	7
OG0000882	9	8
OG0000883	12	12
OG0000884	6	6
OG0000885	11	11
OG0000886	12	12
OG0000887	11	10
OG0000888	11	11
OG0000889	12	12
OG0000890	10	10
OG0000891	11	11
OG0000892	11	11
OG0000893	10	10
OG0000894	11	11
OG0000895	11	11
OG0000896	7	5
OG0000897	11	11
OG0000898	6	6
OG0000899	9	8
OG0000900	7	7
OG0000901	11	11
OG0000902	9	9
OG0000903	9	7
OG0000904	11	11
OG0000905	12	12
OG0000906	11	11
OG0000907	11	11
OG0000908	7	7
OG0000909	11	11
OG0000910	5	4
OG0000911	9	9
OG0000912	11	10
OG0000913	11	11
OG0000914	14	14
OG0000915	10	8
OG0000916	9	9
OG0000917	11	11
OG0000918	11	11
OG0000919	10	10
OG0000920	11	11
OG0000921	12	12
OG0000922	6	6
OG0000923	10	9
OG0000924	11	11
OG0000925	8	8
OG0000926	11	11
OG0000927	6	6
OG0000928	7	6
OG0000929	11	11
OG0000930	13	13
OG0000931	11	11
OG0000932	8	8
OG0000933	11	11
OG0000934	12	12
OG0000935	11	11
OG0000936	11	11
OG0000937	12	12
OG0000938	12	12
OG0000939	4	4
OG0000940	8	8
OG0000941	10	10
OG0000942	11	11
OG0000943	11	11
OG0000944	11	11
OG0000945	12	12
OG0000946	11	11
OG0000947	11	11
OG0000948	7	7
OG0000949	10	10
OG0000950	10	10
OG0000951	8	6
OG0000952	11	11
OG0000953	7	7
OG0000954	9	9
OG0000955	11	11
OG0000956	9	9
OG0000957	11	11
OG0000958	12	12
OG0000959	11	11
OG0000960	15	15
OG0000961	11	11
OG0000962	11	11
OG0000963	11	11
OG0000964	11	11
OG0000965	13	13
OG0000966	9	8
OG0000967	15	15
OG0000968	12	12
OG0000969	10	10
OG0000970	12	12
OG0000971	12	12
OG0000972	10	8
OG0000973	13	13
OG0000974	7	7
OG0000975	17	17
OG0000976	16	16
OG0000977	11	10
OG0000978	13	13
OG0000979	17	17
OG0000980	17	17
OG0000981	17	17
OG0000982	17	17
OG0000983	15	15
OG0000984	17	17
OG0000985	17	17
OG0000986	17	17
OG0000987	17	17
OG0000988	17	17
OG0000989	11	11
OG0000990	10	10
OG0000991	9	9
OG0000992	11	11
OG0000993	10	10
OG0000994	10	10
OG0000995	4	4
OG0000996	8	8
OG0000997	10	10
OG0000998	5	5
OG0000999	6	6
OG0001000	10	10
OG0001001	10	10
OG0001002	10	10
OG0001003	9	8
OG0001004	11	11
OG0001005	7	7
OG0001006	10	10
OG0001007	10	10
OG0001008	9	8
OG0001009	10	9
OG0001010	8	7
OG0001011	11	11
OG0001012	10	10
OG0001013	9	6
OG0001014	10	10
OG0001015	10	10
OG0001016	10	10
OG0001017	10	10
OG0001018	3	2
OG0001019	7	7
OG0001020	3	2
OG0001021	10	10
OG0001022	10	10
OG0001023	6	6
OG0001024	10	10
OG0001025	10	9
OG0001026	10	10
OG0001027	10	10
OG0001028	10	10
OG0001029	10	10
OG0001030	8	8
OG0001031	5	5
OG0001032	6	6
OG0001033	4	4
OG0001034	10	10
OG0001035	10	10
OG0001036	10	10
OG0001037	11	11
OG0001038	5	4
OG0001039	10	8
OG0001040	9	8
OG0001041	9	9
OG0001042	10	10
OG0001043	9	9
OG0001044	10	10
